TS,X,Y,Z,Activity
1569902143134,-0.3609314,10.382462,-0.10475159,WALKING
1569902143155,-1.7202454,10.945099,-0.5955658,WALKING
1569902143174,-1.7286072,12.358276,-0.14485168,WALKING
1569902143195,-0.31784058,13.668503,1.391037,WALKING
1569902143215,0.73023987,13.4614105,2.217636,WALKING
1569902143236,-0.93733215,14.312546,-0.025146484,WALKING
1569902143254,-2.72641,14.046188,1.3293915,WALKING
1569902143274,-1.9075775,12.199661,0.038909912,WALKING
1569902143294,1.022934,11.084564,-1.2599487,WALKING
1569902143314,0.96665955,12.621643,0.20411682,WALKING
1569902143336,0.42677307,15.503067,0.8385773,WALKING
1569902143354,1.4951782,15.860397,-0.0012054443,WALKING
1569902143374,2.6856995,15.904678,1.0540466,WALKING
1569902143394,1.9416962,14.539993,0.8619232,WALKING
1569902143414,-0.16461182,12.321762,0.11253357,WALKING
1569902143434,-3.0998993,9.562439,-1.612503,WALKING
1569902143454,-2.1152802,8.789719,-1.0738068,WALKING
1569902143474,0.36212158,7.408264,-0.9277649,WALKING
1569902143494,1.0534515,4.869812,-0.08140564,WALKING
1569902143514,1.5245056,3.0538025,1.7693176,WALKING
1569902143534,1.4844055,1.8267822,1.4083862,WALKING
1569902143554,2.3026276,0.9313507,1.2318268,WALKING
1569902143574,2.6378174,1.26474,0.74279785,WALKING
1569902143594,2.5115204,1.391037,0.9900055,WALKING
1569902143613,2.9233246,2.1170807,2.3469238,WALKING
1569902143634,2.4450836,3.3417053,5.4300537,WALKING
1569902143654,1.9081879,6.3745728,7.1772156,WALKING
1569902143674,2.0602112,13.429077,10.577591,WALKING
1569902143694,0.53689575,18.67836,13.562561,WALKING
1569902143714,-1.4419098,15.457565,11.725601,WALKING
1569902143734,-2.4522552,11.218628,7.1963806,WALKING
1569902143754,-0.21907043,5.3498535,7.05571,WALKING
1569902143773,2.6108856,1.8986053,6.9120636,WALKING
1569902143794,3.320755,2.644394,7.423828,WALKING
1569902143814,1.0283203,13.985733,3.2740784,WALKING
1569902143834,0.581192,26.573242,2.3175964,WALKING
1569902143854,3.794815,12.183502,-0.70928955,WALKING
1569902143873,4.351471,-0.45669556,-5.806549,WALKING
1569902143894,6.1555023,2.4726105,4.9619904,WALKING
1569902143913,0.29328918,10.4375305,1.0731964,WALKING
1569902143933,-4.1766815,12.454041,-2.7700958,WALKING
1569902143954,-4.432266,13.275848,0.019760132,WALKING
1569902143976,-3.3417053,11.637619,1.5203247,WALKING
1569902143993,-1.8339691,9.167999,2.4055786,WALKING
1569902144013,-1.4137878,8.042725,0.9528961,WALKING
1569902144033,-0.8230133,7.9703064,-0.20172119,WALKING
1569902144053,0.035324097,8.742432,-0.7254486,WALKING
1569902144073,-0.5668335,8.189972,-0.19154358,WALKING
1569902144093,-1.4209595,7.756027,0.7972717,WALKING
1569902144113,-0.4513092,8.529343,-0.1478424,WALKING
1569902144133,-0.28312683,8.9279785,0.975647,WALKING
1569902144153,-1.5149384,8.221085,1.3180084,WALKING
1569902144172,-1.2264252,8.344391,0.4285736,WALKING
1569902144192,-0.98342896,7.96611,-0.5057831,WALKING
1569902144212,-1.2425995,8.244446,0.23583984,WALKING
1569902144237,-0.78770447,9.488815,0.8343811,WALKING
1569902144253,-0.4178009,10.838547,0.6500397,WALKING
1569902144272,-1.7663269,11.546646,-0.5847931,WALKING
1569902144292,-2.185913,12.601883,-1.1809387,WALKING
1569902144312,-0.43215942,13.875,2.3571014,WALKING
1569902144332,-0.2567749,12.611465,2.4546509,WALKING
1569902144352,-1.537674,14.535797,0.581192,WALKING
1569902144372,-2.245758,13.933655,2.323578,WALKING
1569902144392,-1.1031342,12.167938,0.047286987,WALKING
1569902144412,2.3618927,11.918945,-1.7956543,WALKING
1569902144432,2.2864685,13.748108,-1.4784241,WALKING
1569902144452,1.9105835,15.720932,-0.762558,WALKING
1569902144471,2.2206268,16.34761,1.0612335,WALKING
1569902144492,2.33255,15.947189,2.118866,WALKING
1569902144514,1.7052765,14.829086,1.5915527,WALKING
1569902144532,0.38726807,13.258499,2.130249,WALKING
1569902144552,-3.455429,10.35672,-1.0109558,WALKING
1569902144572,-2.928711,7.29274,-1.6705475,WALKING
1569902144592,0.08200073,4.6142273,-1.7250214,WALKING
1569902144613,2.5875397,3.3824158,-0.9098053,WALKING
1569902144631,2.897583,2.4073792,0.5776062,WALKING
1569902144651,1.7310181,1.296463,0.61351013,WALKING
1569902144672,1.9183655,0.64164734,1.3305817,WALKING
1569902144691,1.7280273,0.2986908,1.6328583,WALKING
1569902144712,2.2876587,0.72784424,1.6136932,WALKING
1569902144731,2.5701752,1.9937744,3.600891,WALKING
1569902144752,2.169159,4.0611725,5.1331635,WALKING
1569902144771,1.3958282,11.177933,7.9355774,WALKING
1569902144792,0.092178345,23.476944,14.2892,WALKING
1569902144811,1.1420441,22.03444,14.215576,WALKING
1569902144832,-0.3722992,9.216476,8.098984,WALKING
1569902144850,0.77033997,1.177948,5.4953003,WALKING
1569902144872,4.103058,-1.5831757,6.8516083,WALKING
1569902144891,3.5506134,7.161667,6.0214233,WALKING
1569902144911,0.34655762,26.086624,2.6437988,WALKING
1569902144931,2.8083954,25.096024,0.56204224,WALKING
1569902144952,4.383194,-0.11552429,-4.7494965,WALKING
1569902144971,7.135315,-1.9261322,0.054473877,WALKING
1569902144993,4.0761414,4.4598083,5.291794,WALKING
1569902145012,-4.5070953,10.733215,-2.8520966,WALKING
1569902145032,-7.0491333,15.694,-2.0883484,WALKING
1569902145051,-5.9274597,15.75206,-0.0012054443,WALKING
1569902145071,-1.7489624,10.055649,2.5743713,WALKING
1569902145092,1.7914734,6.7378845,1.3706818,WALKING
1569902145114,4.5884857,6.585266,-1.217453,WALKING
1569902145132,1.9991608,8.205536,-0.0018005371,WALKING
1569902145154,-1.7525635,8.717285,-0.7434082,WALKING
1569902145170,-1.8992004,8.364151,-0.975647,WALKING
1569902145193,0.106552124,8.651459,0.6039429,WALKING
1569902145210,-0.5901642,8.681976,0.66259766,WALKING
1569902145231,-1.4718323,8.091812,0.60154724,WALKING
1569902145250,-1.0301056,7.823654,0.0287323,WALKING
1569902145271,-0.8601227,7.8410187,-0.888855,WALKING
1569902145292,-0.8128357,9.026733,0.25738525,WALKING
1569902145312,-0.29508972,9.627686,0.6967163,WALKING
1569902145330,0.41360474,10.2717285,0.08200073,WALKING
